Year,Quarter,YearQrt,US_Average_Fare,U.S. Average (Inflation-Adjusted $),GDP,Change_in_GDP
2014,4,2014Q4,395.36,430.04,17849.912,0.72%
2015,1,2015Q1,390.13,426.67,18003.399,0.86%
2015,2,2015Q2,388.78,420.13,18223.577,1.22%
2015,3,2015Q3,374.11,403.22,18347.425,0.68%
2015,4,2015Q4,365.39,395.6,18378.803,0.17%
2016,1,2016Q1,359.47,388.94,18470.156,0.50%
2016,2,2016Q2,351.57,375.98,18656.207,1.01%
2016,3,2016Q3,344.86,367.58,18821.359,0.89%
2016,4,2016Q4,346.72,368.74,19032.58,1.12%
2017,1,2017Q1,349.44,368.72,19237.435,1.08%
2017,2,2017Q2,355.91,373.52,19379.232,0.74%
2017,3,2017Q3,335.83,351.05,19617.288,1.23%
2017,4,2017Q4,347.33,361.73,19937.963,1.63%
2018,1,2018Q1,346.49,357.69,20242.215,1.53%
2018,2,2018Q2,349.17,356.63,20552.653,1.53%
2018,3,2018Q3,343.28,349.61,20742.723,0.92%
2018,4,2018Q4,359.3,366.13,20909.853,0.81%
2019,1,2019Q1,350.12,355.59,21115.309,0.98%
2019,2,2019Q2,357.1,358.39,21329.877,1.02%
2019,3,2019Q3,345.09,345.39,21540.325,0.99%
2019,4,2019Q4,356.51,356.06,21747.394,0.96%
2020,1,2020Q1,336.13,334.3,21561.139,-0.86%
2020,2,2020Q2,258.89,258.89,19520.114,-9.47%
